Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
2,0.585,0.49,0.185,1.171,0.522,0.2535,0.335
2,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305
2,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309
0,0.575,0.45,0.12,0.9585,0.447,0.169,0.275
1,0.625,0.485,0.15,1.044,0.438,0.2865,0.278
1,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12
2,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28
1,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045
2,0.59,0.485,0.12,0.911,0.39,0.182,0.29
2,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935
0,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35
1,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
2,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1
1,0.47,0.375,0.105,0.468,0.1665,0.108,0.17
2,0.64,0.515,0.08,1.042,0.515,0.1755,0.175
1,0.51,0.395,0.13,0.6025,0.281,0.143,0.162
0,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335
2,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155
2,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315
0,0.68,0.56,0.195,1.664,0.58,0.3855,0.545
1,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3
2,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295
0,0.62,0.51,0.18,1.233,0.592,0.274,0.322
1,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18
0,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125
1,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055
1,0.605,0.435,0.13,0.9025,0.432,0.174,0.26
2,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31
1,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065
2,0.615,0.47,0.155,1.2,0.5085,0.32,0.292
0,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344
